IPTV 测速汇总 | 2026-04-30 20:21:10
--------------------------------------------------
116.228.170.214:888       | 2/2   | 0.34 Mbps
112.27.235.94:8000        | 2/2   | 1.7 Mbps
101.95.21.250:10081       | 2/2   | 0.89 Mbps
61.163.179.201:808        | 2/2   | 5.68 Mbps
122.114.131.154:4060      | 1/2   | 1.99 Mbps
113.200.114.168:20000     | 2/2   | 6.09 Mbps
1.24.39.180:808           | 2/2   | 8.16 Mbps
122.114.131.154:4000      | 1/2   | 1.85 Mbps
61.182.89.14:808          | 2/2   | 7.64 Mbps
1.31.14.70:54321          | 2/2   | 1.93 Mbps
39.105.190.112:8009       | 2/2   | 1.75 Mbps
221.226.67.66:8199        | 2/2   | 0.53 Mbps
221.14.142.118:9003       | 2/2   | 6.77 Mbps
122.114.131.154:4007      | 2/2   | 1.47 Mbps
182.150.31.44:808         | 2/2   | 1.89 Mbps
61.240.150.5:81           | 0/2   | 0 Mbps
124.88.238.50:82          | 0/2   | 0 Mbps
124.88.238.50:81          | 0/2   | 0 Mbps
219.139.124.61:8089       | 2/2   | 7.96 Mbps
122.114.131.154:4001      | 2/2   | 1.45 Mbps
221.11.56.114:8888        | 2/2   | 3.63 Mbps
59.45.161.118:8877        | 2/2   | 7.73 Mbps
61.138.82.196:808         | 2/2   | 3.94 Mbps
106.44.226.206:88         | 2/2   | 7.41 Mbps
122.114.131.154:4021      | 2/2   | 1.27 Mbps
218.19.109.134:808        | 2/2   | 12.09 Mbps
39.164.138.145:9003       | 2/2   | 0.37 Mbps
120.209.208.163:5080      | 2/2   | 5.82 Mbps
111.14.186.11:5009        | 2/2   | 9.94 Mbps
221.14.142.118:8000       | 2/2   | 6.45 Mbps
114.252.121.120:8899      | 2/2   | 7.73 Mbps
106.46.169.202:9000       | 2/2   | 3.27 Mbps
42.49.176.207:808         | 2/2   | 7.54 Mbps
119.36.6.89:1111          | 2/2   | 0.37 Mbps
111.14.222.117:3333       | 2/2   | 10.23 Mbps
39.164.138.145:8899       | 1/2   | 0.49 Mbps
27.129.145.110:4433       | 2/2   | 0.23 Mbps
ah2.sohu.blog:8000        | 2/2   | 1.04 Mbps
114.252.114.191:8899      | 2/2   | 6.25 Mbps
183.236.10.36:8083        | 0/2   | 0 Mbps
183.237.71.182:40000      | 2/2   | 1.09 Mbps
124.93.18.132:81          | 0/2   | 0 Mbps
124.93.18.236:81          | 0/2   | 0 Mbps
124.93.18.135:81          | 0/2   | 0 Mbps
124.93.18.133:81          | 0/2   | 0 Mbps
124.93.18.134:81          | 0/2   | 0 Mbps
hmfs.f3322.net:3388       | 2/2   | 4.4 Mbps
60.16.0.36:5757           | 2/2   | 7.13 Mbps
183.129.255.66:8480       | 2/2   | 9.49 Mbps
122.114.131.154:4018      | 2/2   | 1.24 Mbps
222.85.198.92:8000        | 2/2   | 8.79 Mbps
144.0.23.4:8085           | 2/2   | 7.65 Mbps
144.0.23.80:8085          | 2/2   | 1.84 Mbps
144.0.23.230:8085         | 2/2   | 9.93 Mbps
171.217.136.128:10001     | 0/2   | 0 Mbps
60.174.86.121:5080        | 2/2   | 5.22 Mbps
119.39.198.94:808         | 2/2   | 3.37 Mbps
27.41.245.11:808          | 2/2   | 3.9 Mbps
1.196.157.125:999         | 2/2   | 8.28 Mbps
14.154.206.148:8088       | 2/2   | 6.64 Mbps
171.15.151.253:9999       | 0/2   | 0 Mbps
125.44.167.1:8888         | 2/2   | 7.12 Mbps
171.15.150.154:9999       | 0/2   | 0 Mbps
14.106.99.16:888          | 2/2   | 5.3 Mbps
218.19.108.9:808          | 1/2   | 11.82 Mbps
210.76.37.103:1234        | 2/2   | 3.44 Mbps
222.85.50.111:6070        | 2/2   | 7.88 Mbps
58.255.201.116:808        | 2/2   | 7.92 Mbps
125.46.176.70:60000       | 1/2   | 8.12 Mbps
61.52.80.60:8888          | 2/2   | 7.74 Mbps
182.117.192.67:8888       | 2/2   | 8.2 Mbps
125.40.54.174:8888        | 0/2   | 0 Mbps
